fieldbeat_task_id,task_type,state,priority,client_key,created_at,updated_at
1495,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2022-05-26T11:25:23.103Z,2022-05-26T11:31:22.590Z
1503,CORRECTIVA NO PROGRAMADA,ARCHIVED,3,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2022-06-03T18:50:37.466Z,2022-12-05T13:19:15.395Z
1507,CORRECTIVA PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,2022-06-06T13:46:09.524Z,2022-06-06T22:09:09.440Z
1515,PREVENTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),2022-06-17T14:10:01.268Z,2022-06-17T14:28:03.827Z
1519,,ARCHIVED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-06-20T16:19:46.370Z,2022-12-05T13:18:07.260Z
1520,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-06-20T16:21:36.756Z,2022-06-20T16:28:48.148Z
1522,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-06-23T20:07:49.470Z,2022-06-23T20:39:27.233Z
1524,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-06-28T14:18:41.487Z,2022-06-28T14:30:48.049Z
1533,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-07-04T14:41:08.506Z,2022-07-04T14:49:43.885Z
1536,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2022-07-07T20:18:40.087Z,2022-07-07T20:31:36.701Z
1540,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2022-07-11T14:03:13.001Z,2022-07-11T18:41:36.674Z
1542,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-07-13T23:13:30.750Z,2022-07-13T23:35:11.793Z
1546,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-07-19T15:48:34.452Z,2022-07-19T16:37:30.042Z
1548,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-07-22T16:57:25.430Z,2022-07-22T21:10:19.572Z
1551,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-07-25T13:39:13.792Z,2022-07-25T13:46:29.079Z
1558,PREVENTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT||ACME,2022-08-03T16:26:58.731Z,2023-02-24T11:26:50.688Z
1559,PREVENTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|61.606.500-9|ACME,2022-08-03T16:27:54.374Z,2023-02-24T11:27:26.129Z
1563,CORRECTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2022-08-03T23:16:44.693Z,2022-08-04T16:24:43.307Z
1566,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2022-08-05T11:42:23.772Z,2022-08-05T11:51:38.455Z
1569,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-05T23:26:32.952Z,2022-08-05T23:40:22.191Z
1570,,SENT,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-08T13:26:26.091Z,2022-08-28T13:58:36.784Z
1571,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-08T13:27:12.768Z,2022-08-08T18:38:41.236Z
1572,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-08-08T13:51:21.861Z,2022-08-08T14:06:49.876Z
1573,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-08T18:39:38.805Z,2022-08-13T17:28:31.790Z
1574,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-08T19:40:40.506Z,2022-08-08T21:58:19.639Z
1575,PREVENTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-09T03:03:44.907Z,2022-08-13T17:27:09.133Z
1576,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-10T14:03:09.006Z,2022-08-10T15:08:15.907Z
1577,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-08-12T20:53:02.510Z,2022-08-12T20:59:19.379Z
1578,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-08-12T21:02:39.622Z,2022-08-12T21:14:40.109Z
1580,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,2022-08-16T10:42:03.225Z,2022-08-16T11:58:32.944Z
1581,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-16T21:40:19.589Z,2022-08-16T21:56:06.246Z
1584,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-19T17:37:34.414Z,2022-08-19T18:01:48.625Z
1587,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-23T18:10:33.864Z,2022-08-23T18:22:09.548Z
1589,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2022-08-24T14:29:14.609Z,2022-08-24T14:51:17.307Z
1591,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-08-25T13:31:38.304Z,2022-08-25T13:42:22.067Z
1592,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2022-08-25T15:31:33.155Z,2022-08-25T15:50:41.344Z
1593,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-08-26T00:07:29.711Z,2022-08-26T00:18:56.954Z
1594,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-26T18:28:06.723Z,2022-08-26T19:00:43.776Z
1595,CORRECTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|61.606.500-9|ACME,2022-08-26T19:17:36.656Z,2022-08-26T19:37:41.019Z
1599,CORRECTIVA PROGRAMADA,ON_ROUTE,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-29T20:15:32.831Z,2022-08-30T02:00:34.482Z
1600,ASISTENCIA REMOTA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-08-29T20:17:55.939Z,2022-08-29T20:28:02.640Z
1602,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2022-08-30T16:58:37.815Z,2022-08-30T17:22:13.988Z
1603,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-08-31T13:18:47.909Z,2022-08-31T13:23:08.066Z
1619,,SENT,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-14T22:26:17.966Z,2022-09-15T21:24:50.525Z
1620,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-15T01:21:03.488Z,2022-09-16T02:06:23.103Z
1623,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-09-15T18:35:15.300Z,2022-09-15T18:41:25.124Z
1624,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-15T21:16:27.282Z,2022-09-16T02:08:22.474Z
1625,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-15T21:22:18.659Z,2022-09-16T02:18:22.061Z
1626,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-09-16T01:30:46.524Z,2022-09-16T02:00:06.510Z
1630,,ARCHIVED,3,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-09-22T14:38:33.202Z,2022-10-13T19:17:17.766Z
1632,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-09-22T15:25:15.869Z,2022-09-22T21:18:34.967Z
1635,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-23T15:05:25.241Z,2022-09-23T15:12:27.615Z
1643,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|76.089.058-8|EYG MEDICAL SYSTEMS LTDA.,2022-09-28T22:20:16.440Z,2022-09-28T22:20:46.846Z
1644,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-09-29T11:43:40.738Z,2022-09-29T14:52:49.217Z
1647,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2022-09-29T21:25:16.384Z,2022-09-29T22:57:48.591Z
1650,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-09-30T20:10:24.366Z,2022-09-30T20:20:20.944Z
1651,CORRECTIVA NO PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-01T19:23:01.980Z,2022-10-01T19:47:55.641Z
1652,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-03T12:10:43.770Z,2022-10-03T14:21:17.279Z
1653,CORRECTIVA PROGRAMADA,PAUSED,2,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2022-10-03T16:12:08.043Z,2023-06-23T17:01:03.605Z
1656,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-05T16:33:46.177Z,2022-10-05T16:56:44.903Z
1661,CORRECTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-12T12:36:38.663Z,2022-10-13T14:09:07.162Z
1662,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2022-10-12T17:31:28.076Z,2022-10-13T20:45:42.467Z
1663,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2022-10-12T17:39:25.157Z,2022-10-13T20:45:48.249Z
1664,CORRECTIVA PROGRAMADA,STARTED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-10-13T12:31:55.967Z,2022-10-13T19:16:58.635Z
1665,ASISTENCIA REMOTA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-10-13T12:40:02.765Z,2022-10-13T12:44:11.006Z
1666,CORRECTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2022-10-13T17:30:02.058Z,2023-02-16T18:03:41.637Z
1670,PREVENTIVA PROGRAMADA,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-17T12:44:46.338Z,2022-10-18T13:13:47.071Z
1673,CORRECTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-20T12:36:00.604Z,2023-04-03T22:53:52.548Z
1676,REQUERIMIENTO DEL CLIENTE,SCHEDULED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-21T12:09:57.480Z,2022-10-21T12:09:57.480Z
1677,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-21T12:12:18.921Z,2022-10-21T12:31:44.321Z
1683,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-26T00:33:27.922Z,2022-10-26T02:23:56.721Z
1684,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-27T01:33:36.730Z,2022-10-27T01:44:23.208Z
1685,REQUERIMIENTO DEL CLIENTE,ARCHIVED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T16:43:03.538Z,2023-08-01T17:05:36.513Z
1686,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T16:45:50.071Z,2022-10-27T17:47:07.713Z
1687,,ARCHIVED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T16:46:46.885Z,2022-10-27T17:20:59.601Z
1688,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T16:48:05.244Z,2022-10-27T17:50:35.213Z
1689,REQUERIMIENTO DEL CLIENTE,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T16:50:28.246Z,2022-10-27T17:50:21.054Z
1690,REQUERIMIENTO DEL CLIENTE,FINISHED,1,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-10-27T17:06:13.512Z,2022-10-27T17:50:46.159Z
