zendesk_ticket_id,fieldbeat_report_count,fieldbeat_task_ids,sources
217,2,2505|2531,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
431,2,2622|2627,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
446,2,2677|2690,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
490,2,2685|2923,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8657,2,2678|2695,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8667,2,2686|2694,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8749,2,2729|2731,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8758,2,2755|2834,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8820,2,2793|2796,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8821,2,2895|2928,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8825,2,2804|2806,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8846,2,2818|2819,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8892,2,2844|2846,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8904,2,2861|2871,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8951,2,2891|2894,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8954,2,2889|2890,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8980,2,2914|2921,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
8985,2,2920|2930,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9016,2,2934|2947,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9018,2,2956|3000,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9157,2,3046|3164,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9178,2,3041|3049,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9220,2,3077|3082,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9293,2,3256|3270,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
9346,2,3177|3189,BR_Ticket_FieldBeat_Task|DB_FieldBeat_Tasks.linked_zendesk_ticket_id
