zendesk_ticket_id,status,error_detail
234313,NOT_FOUND,
568581,NOT_FOUND,
370556,NOT_FOUND,
225444,NOT_FOUND,
123178,NOT_FOUND,
577218,NOT_FOUND,
399072,NOT_FOUND,
436837,NOT_FOUND,
305630,NOT_FOUND,
356875,NOT_FOUND,
720791,NOT_FOUND,
502288,NOT_FOUND,
752135,NOT_FOUND,
764750,NOT_FOUND,
292755,NOT_FOUND,
533300,NOT_FOUND,
601281,NOT_FOUND,
5911410869292,NOT_FOUND,
439377,NOT_FOUND,
407168,NOT_FOUND,
535606,NOT_FOUND,
132133,NOT_FOUND,
450927,NOT_FOUND,
452861,NOT_FOUND,
798676,NOT_FOUND,
503067,NOT_FOUND,
691983,NOT_FOUND,
529099,NOT_FOUND,
526627,NOT_FOUND,
789203,NOT_FOUND,
555067,NOT_FOUND,
7777,NOT_FOUND,
886981,NOT_FOUND,
622075,NOT_FOUND,
761642,NOT_FOUND,
914690,NOT_FOUND,
746842,NOT_FOUND,
178099,NOT_FOUND,
674658,NOT_FOUND,
468508,NOT_FOUND,
529724,NOT_FOUND,
743842,NOT_FOUND,
633009,NOT_FOUND,
127990,NOT_FOUND,
888306,NOT_FOUND,
968564,NOT_FOUND,
716324,NOT_FOUND,
191139,NOT_FOUND,
115048,NOT_FOUND,
432011,NOT_FOUND,
823784,NOT_FOUND,
758700,NOT_FOUND,
107185,NOT_FOUND,
816664,NOT_FOUND,
381608,NOT_FOUND,
240610,NOT_FOUND,
303706,NOT_FOUND,
561750,NOT_FOUND,
998343,NOT_FOUND,
905198,NOT_FOUND,
885291,NOT_FOUND,
163167,NOT_FOUND,
670601,NOT_FOUND,
808156,NOT_FOUND,
560333,NOT_FOUND,
210522,NOT_FOUND,
593101,NOT_FOUND,
252179,NOT_FOUND,
566921,NOT_FOUND,
775465,NOT_FOUND,
998584,NOT_FOUND,
301318,NOT_FOUND,
125896,NOT_FOUND,
737478,NOT_FOUND,
979673,NOT_FOUND,
183512,NOT_FOUND,
257565,NOT_FOUND,
989244,NOT_FOUND,
914691,NOT_FOUND,
859491,NOT_FOUND,
477229,NOT_FOUND,
454944,NOT_FOUND,
448046,NOT_FOUND,
522766,NOT_FOUND,
151048,NOT_FOUND,
813919,NOT_FOUND,
375568,NOT_FOUND,
582497,NOT_FOUND,
246753,NOT_FOUND,
142719,NOT_FOUND,
