bridge_id,missing_zendesk_ticket_id,fieldbeat_task_id,task_type,state,client_key,created_at,link_method
9999|2080,9999,2080,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-08-01T16:27:22.497Z,fieldbeat_report_ticket_number
468508|2081,468508,2081,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-08-01T23:24:19.808Z,fieldbeat_report_ticket_number
0101|2083,0101,2083,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-02T23:31:49.540Z,fieldbeat_report_ticket_number
529724|2087,529724,2087,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-04T13:36:06.636Z,fieldbeat_report_ticket_number
743842|2088,743842,2088,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2023-08-04T22:14:58.818Z,fieldbeat_report_ticket_number
0101|2089,0101,2089,PREVENTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-05T01:41:50.687Z,fieldbeat_report_ticket_number
633009|2091,633009,2091,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2023-08-09T00:35:24.199Z,fieldbeat_report_ticket_number
468508|2092,468508,2092,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-08-09T18:17:02.285Z,fieldbeat_report_ticket_number
127990|2093,127990,2093,,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-09T20:06:33.128Z,fieldbeat_report_ticket_number
0101|2094,0101,2094,,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-09T20:49:34.838Z,fieldbeat_report_ticket_number
888306|2095,888306,2095,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-08-09T22:33:41.277Z,fieldbeat_report_ticket_number
968564|2104,968564,2104,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),2023-08-17T18:25:47.914Z,fieldbeat_report_ticket_number
914690|2108,914690,2108,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-23T14:08:54.572Z,fieldbeat_report_ticket_number
716324|2109,716324,2109,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-08-23T21:07:22.112Z,fieldbeat_report_ticket_number
568581|2113,568581,2113,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-08-26T17:26:55.239Z,fieldbeat_report_ticket_number
129036|2119,129036,2119,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2023-08-30T00:43:19.131Z,fieldbeat_report_ticket_number
191139|2121,191139,2121,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-08-30T20:07:31.067Z,fieldbeat_report_ticket_number
115048|2122,115048,2122,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-08-30T20:10:36.046Z,fieldbeat_report_ticket_number
432011|2124,432011,2124,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-08-31T23:17:07.829Z,fieldbeat_report_ticket_number
0101|2133,0101,2133,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-09-08T11:56:28.284Z,fieldbeat_report_ticket_number
0101|2134,0101,2134,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-09-11T13:08:42.896Z,fieldbeat_report_ticket_number
823784|2135,823784,2135,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-09-11T13:21:28.678Z,fieldbeat_report_ticket_number
758700|2139,758700,2139,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2023-09-12T20:00:05.657Z,fieldbeat_report_ticket_number
777777|2143,777777,2143,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-09-15T13:35:50.028Z,fieldbeat_report_ticket_number
107185|2150,107185,2150,PREVENTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),2023-09-27T18:46:54.707Z,fieldbeat_report_ticket_number
816664|2157,816664,2157,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-10-03T20:19:25.134Z,fieldbeat_report_ticket_number
888306|2159,888306,2159,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-10-04T22:19:12.429Z,fieldbeat_report_ticket_number
9999|2160,9999,2160,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2023-10-05T20:37:24.737Z,fieldbeat_report_ticket_number
381608|2168,381608,2168,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-10-19T13:19:16.730Z,fieldbeat_report_ticket_number
240610|2169,240610,2169,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-10-19T15:43:31.673Z,fieldbeat_report_ticket_number
303706|2173,303706,2173,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-10-24T23:46:52.159Z,fieldbeat_report_ticket_number
561750|2183,561750,2183,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2023-10-31T19:58:13.337Z,fieldbeat_report_ticket_number
998343|2184,998343,2184,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-10-31T20:32:07.857Z,fieldbeat_report_ticket_number
905198|2185,905198,2185,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-11-02T20:27:51.852Z,fieldbeat_report_ticket_number
885291|2186,885291,2186,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2023-11-03T19:50:18.573Z,fieldbeat_report_ticket_number
381608|2191,381608,2191,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-11-07T16:49:35.449Z,fieldbeat_report_ticket_number
