ticket_custom_field_id,zendesk_ticket_id,field_id,field_value,extracted_at
48|50338094524571,48,50338094524571,,2026-08-06T07:59:40.903Z
48|51536708125979,48,51536708125979,,2026-08-06T07:59:40.903Z
48|53413823625115,48,53413823625115,,2026-08-06T07:59:40.903Z
48|53413857466651,48,53413857466651,,2026-08-06T07:59:40.903Z
48|53413889889179,48,53413889889179,,2026-08-06T07:59:40.903Z
48|53413889909659,48,53413889909659,,2026-08-06T07:59:40.903Z
48|53413906451867,48,53413906451867,,2026-08-06T07:59:40.903Z
48|53413906511387,48,53413906511387,,2026-08-06T07:59:40.903Z
51|22950764862363,51,22950764862363,,2026-08-06T07:59:40.903Z
51|22951106310811,51,22951106310811,mosaiq_server,2026-08-06T07:59:40.903Z
51|22986688179995,51,22986688179995,no,2026-08-06T07:59:40.903Z
51|23570126394907,51,23570126394907,fco,2026-08-06T07:59:40.903Z
51|34267608050075,51,34267608050075,,2026-08-06T07:59:40.903Z
51|39065204608155,51,39065204608155,,2026-08-06T07:59:40.903Z
51|40011436329115,51,40011436329115,,2026-08-06T07:59:40.903Z
51|43011722643739,51,43011722643739,,2026-08-06T07:59:40.903Z
51|43806479792155,51,43806479792155,,2026-08-06T07:59:40.903Z
51|43806495652507,51,43806495652507,,2026-08-06T07:59:40.903Z
51|46198959369371,51,46198959369371,,2026-08-06T07:59:40.903Z
51|46199043039259,51,46199043039259,,2026-08-06T07:59:40.903Z
51|49468052627483,51,49468052627483,,2026-08-06T07:59:40.903Z
51|50338064550299,51,50338064550299,,2026-08-06T07:59:40.903Z
51|50338094524571,51,50338094524571,,2026-08-06T07:59:40.903Z
51|51536708125979,51,51536708125979,,2026-08-06T07:59:40.903Z
51|53413823625115,51,53413823625115,,2026-08-06T07:59:40.903Z
51|53413857466651,51,53413857466651,,2026-08-06T07:59:40.903Z
51|53413889889179,51,53413889889179,,2026-08-06T07:59:40.903Z
51|53413889909659,51,53413889909659,,2026-08-06T07:59:40.903Z
51|53413906451867,51,53413906451867,,2026-08-06T07:59:40.903Z
