Cliente,Abreviación,Equipo,S-N,Año Instalación,Estado Contrato,SPA con Elekta,Lun - Vie,Sab - Dom,Soporte Elekta,Horarios de Atención,HW Refresh,UpDates,UpGrades,Situación Repuestos,Q Mant Prev x Año,Notas,,,,,,,Variables(no considerar para analisis)
UC Christus,UC-CECA,Flexitron,FT02211,nov-24,Garantía con Elekta,Garantía Elekta (Todo incluído),Sí,No,Remoto,Días hábiles de 08:00 a 18:00 (No incluye fines de semana ni festivos),No,,,,Por cada cambio fuente,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,No
Sanatorio Alemán,Oncorad,MicroSelectron,10806,,Vigente (Ren. Automática) (E&G),Silver + 3 Fuentes Ir-192,Sí,No,Remoto,Días hábiles de 08:00 a 18:00 (No incluye fines de semana ni festivos),No,No,No,No Incluidos,Por cada cambio fuente,Estado operacional (fuente actualizada 2026-08-04): Desinstalado.,,,,,,,Sólo SW
Sanatorio Alemán,Oncorad,Flexitron,FT02181,jul-24,Garantía con Elekta,Garantía Elekta (Todo incluído),Sí,No,,Lunes a Viernes 8:00 a 17:00 (horario Elekta),No,Sólo SW,No,Todo Incluido,Por cada cambio fuente,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,
Fundación Arturo López Pérez,FALP,Flexitron,FT07026,,Vigente (Ren. Automática) (E&G),Silver sin Fuente,Sí,Sí,Remoto,24/7,No,Sólo SW,No,Incluye sólo repuestos bajo USD 1500.- (NO incluye fuente),1,Estado operacional (fuente actualizada 2026-08-04): Operativo.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Directo con Elekta
,,,,,,,,,,,,,,,,,,,,,,,Vigente (Ren. Automática) (E&G)
,,,,,,,,,,,,,,,,,,,,,,,Vigente (Plazo Fijo) (E&G)
,,,,,,,,,,,,,,,,,,,,,,,Garantía con Elekta
,,,,,,,,,,,,,,,,,,,,,,,On Demand (Sin Contrato)
,,,,,,,,,,,,,,,,,,,,,,,Contrato On Demand (E&G)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Silver (Sólo Soporte)
,,,,,,,,,,,,,,,,,,,,,,,Gold (Incluye todos los repuestos)
,,,,,,,,,,,,,,,,,,,,,,,Platinum (Incluye TR)
,,,,,,,,,,,,,,,,,,,,,,,Garantía Elekta (Todo incluído)
,,,,,,,,,,,,,,,,,,,,,,,Garantía Elekta (Gold)
,,,,,,,,,,,,,,,,,,,,,,,Sin SPA (Fuera registros Elekta)
,,,,,,,,,,,,,,,,,,,,,,,Silver + 3 Fuentes Ir-192
,,,,,,,,,,,,,,,,,,,,,,,Silver sin Fuente
