task_equipment_id,fieldbeat_task_id,equipment_uuid,equipment_internal_id,extracted_at
737|db404b6d-d8df-4035-a2fc-0c17c30cee82|Linac-105277,737,db404b6d-d8df-4035-a2fc-0c17c30cee82,Linac-105277,2026-07-27T07:34:27.482Z
739|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,739,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
742|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,742,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
743|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,743,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,2026-07-27T07:34:27.482Z
744|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,744,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,2026-07-27T07:34:27.482Z
745|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,745,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
731|6b1c91f9-0f80-4ea2-937e-2f2c3cbe3387|OIS-HCVB,731,6b1c91f9-0f80-4ea2-937e-2f2c3cbe3387,OIS-HCVB,2026-07-27T07:34:27.482Z
731|4ceb1f88-b175-4aad-9e6a-7f673aa237e4|TPS-HCVB,731,4ceb1f88-b175-4aad-9e6a-7f673aa237e4,TPS-HCVB,2026-07-27T07:34:27.482Z
732|c6454d79-5d62-4b29-9320-d1f8bcf38345|OIS-UC,732,c6454d79-5d62-4b29-9320-d1f8bcf38345,OIS-UC,2026-07-27T07:34:27.482Z
733|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,733,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
734||Linac-201073,734,,Linac-201073,2026-07-27T07:34:27.482Z
748|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,748,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
749|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,749,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,2026-07-27T07:34:27.482Z
750|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,750,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,2026-07-27T07:34:27.482Z
752|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,752,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
753|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,753,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
759|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,759,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
761|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,761,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
763|dc36d94e-e0b1-470d-9000-bc8566f22d87|Linac-201110,763,dc36d94e-e0b1-470d-9000-bc8566f22d87,Linac-201110,2026-07-27T07:34:27.482Z
764|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,764,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
765|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,765,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
766|4ceb1f88-b175-4aad-9e6a-7f673aa237e4|TPS-HCVB,766,4ceb1f88-b175-4aad-9e6a-7f673aa237e4,TPS-HCVB,2026-07-27T07:34:27.482Z
767|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,767,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,2026-07-27T07:34:27.482Z
768|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,768,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
769|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,769,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
771|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,771,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
772|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,772,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
773|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,773,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
774|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,774,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
775|b049c5ee-3adc-489c-b507-8aa5b7c5150c|TPS-INRAD,775,b049c5ee-3adc-489c-b507-8aa5b7c5150c,TPS-INRAD,2026-07-27T07:34:27.482Z
776|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,776,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
778|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,778,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
779|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,779,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
780|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,780,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
780|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,780,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
755|dbe9605b-e77d-48dc-b6bf-412f8857866e|2286,755,dbe9605b-e77d-48dc-b6bf-412f8857866e,2286,2026-07-27T07:34:27.482Z
756|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,756,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
757|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,757,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
758||Linac-151673,758,,Linac-151673,2026-07-27T07:34:27.482Z
777|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,777,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
783|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,783,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
783|c6454d79-5d62-4b29-9320-d1f8bcf38345|OIS-UC,783,c6454d79-5d62-4b29-9320-d1f8bcf38345,OIS-UC,2026-07-27T07:34:27.482Z
783|4e69f507-9eb6-40da-babe-3ef68a3a7656|TPS-UC,783,4e69f507-9eb6-40da-babe-3ef68a3a7656,TPS-UC,2026-07-27T07:34:27.482Z
784|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,784,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
785|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,785,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
786|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,786,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
787|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,787,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
788|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,788,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
789|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,789,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
791|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,791,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
792|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,792,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
793|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,793,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
794|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,794,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
795|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,795,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
796|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,796,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
797|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,797,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
798|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,798,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
799|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,799,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
801|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,801,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
802|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,802,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,2026-07-27T07:34:27.482Z
803|db404b6d-d8df-4035-a2fc-0c17c30cee82|Linac-105277,803,db404b6d-d8df-4035-a2fc-0c17c30cee82,Linac-105277,2026-07-27T07:34:27.482Z
804|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,804,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
805|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,805,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
806|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,806,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
807|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,807,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
808|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,808,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
809|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,809,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
810|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,810,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
812|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,812,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
813|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,813,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
814|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,814,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
815|c67ffc1d-0363-43ac-b80c-43911a8b53eb|Linac-152280,815,c67ffc1d-0363-43ac-b80c-43911a8b53eb,Linac-152280,2026-07-27T07:34:27.482Z
816|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,816,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
817|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,817,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
818|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,818,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
819|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,819,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
820|c9ed7826-3025-410d-8a4b-a98a1c3a7148|OIS-HCM,820,c9ed7826-3025-410d-8a4b-a98a1c3a7148,OIS-HCM,2026-07-27T07:34:27.482Z
823|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,823,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
824|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,824,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
825|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,825,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
826|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,826,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
827|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,827,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
830|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,830,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
831|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,831,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
833|3e5f26be-284b-4a99-a5b4-21dbef17daa0|Linac-151238,833,3e5f26be-284b-4a99-a5b4-21dbef17daa0,Linac-151238,2026-07-27T07:34:27.482Z
836|0f2acfc5-d1ed-486c-a5dd-70b423158057|Linac-152171,836,0f2acfc5-d1ed-486c-a5dd-70b423158057,Linac-152171,2026-07-27T07:34:27.482Z
837|c67ffc1d-0363-43ac-b80c-43911a8b53eb|Linac-152280,837,c67ffc1d-0363-43ac-b80c-43911a8b53eb,Linac-152280,2026-07-27T07:34:27.482Z
838|a42edbe1-2603-4ba4-b22f-35b213087dc1|Linac-154325,838,a42edbe1-2603-4ba4-b22f-35b213087dc1,Linac-154325,2026-07-27T07:34:27.482Z
839|4e69f507-9eb6-40da-babe-3ef68a3a7656|TPS-UC,839,4e69f507-9eb6-40da-babe-3ef68a3a7656,TPS-UC,2026-07-27T07:34:27.482Z
840|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,840,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
841|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,841,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
842|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,842,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
843|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,843,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
844|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,844,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
846|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,846,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
847|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,847,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
848|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,848,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
849|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,849,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
850|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,850,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
