used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_number,part_name,quantity,raw_original_part_number,raw_original_part_name,origin_location,photo_ref,dolibarr_product_id,dolibarr_ref,unit_cost,estimated_total_cost,needs_manual_review,extracted_at
2071|3|0|821321900352,2071,0101,821321900352,Fuse 10 A 32 VAC,,821321900352,Fuse 10 A 32 VAC,,,,821321900352,,,false,2026-07-01T18:10:26.296Z
2071|2|0|45133164423,2071,0101,45133164423,Filter element Cant: 2,,45133164423,Filter element Cant: 2,,,,45133164423,,,false,2026-07-01T18:10:26.296Z
2072|2|0|,2072,746842,,pedir a elekta,,,pedir a elekta,,,,,,,false,2026-07-01T18:10:26.296Z
2074|2|0|N/A,2074,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
"2075|2|0|45133326854
3501H-BYL-203L",2075,,"45133326854
3501H-BYL-203L","Mout Mirror 
potenciometro check 10 turns",,"45133326854
3501H-BYL-203L","Mout Mirror 
potenciometro check 10 turns",,,,"45133326854
3501H-BYL-203L",,,false,2026-07-01T18:10:26.296Z
2078|2|0|1504218,2078,674658,1504218,medical ethernet iso,,1504218,medical ethernet iso,,,,1504218,,,false,2026-07-01T18:10:26.296Z
2080|2|0|1531145,2080,9999,1531145,"assy, fan 70x70x15mm",,1531145,"assy, fan 70x70x15mm",,,,1531145,,,false,2026-07-01T18:10:26.296Z
2083|2|0|1543958,2083,0101,1543958,Leaf Mo.  Cant: 2,,1543958,Leaf Mo.  Cant: 2,,,,1543958,,,false,2026-07-01T18:10:26.296Z
2086|3|0|4513316442301M,2086,,4513316442301M,Filter Element 5 Micron ,,4513316442301M,Filter Element 5 Micron ,,,,4513316442301M,,,false,2026-07-01T18:10:26.296Z
2086|4|0|,2086,,,"aire comprimido (vacio), limpia contacto, W40 (vacio), aceite trifolio (vacio) ",,,"aire comprimido (vacio), limpia contacto, W40 (vacio), aceite trifolio (vacio) ",,,,,,,false,2026-07-01T18:10:26.296Z
2086|2|0|,2086,,,cambio de filtro para chiller ,,,cambio de filtro para chiller ,,,,,,,false,2026-07-01T18:10:26.296Z
2087|2|0|45133165177,2087,529724,45133165177,Thyatron Cant: 1,,45133165177,Thyatron Cant: 1,,,,45133165177,,,false,2026-07-01T18:10:26.296Z
"2088|3|0|45133502026
1502613
1505891
1538094",2088,743842,"45133502026
1502613
1505891
1538094","x-rays tube
laser ODI spares kit
spec, sfhr400, kv gen
control board, kv gen",,"45133502026
1502613
1505891
1538094","x-rays tube
laser ODI spares kit
spec, sfhr400, kv gen
control board, kv gen",,,,"45133502026
1502613
1505891
1538094",,,false,2026-07-01T18:10:26.296Z
2089|2|0|1535807,2089,0101,1535807,"Mod kit, Transformer thyratron T2 and NTC thermistor",,1535807,"Mod kit, Transformer thyratron T2 and NTC thermistor",,,,1535807,,,false,2026-07-01T18:10:26.296Z
2092|3|0|1019597,2092,468508,1019597,pci frame grabber ,,1019597,pci frame grabber ,,,,1019597,,,false,2026-07-01T18:10:26.296Z
2092|5|0|1015075,2092,468508,1015075,cable retractile ,,1015075,cable retractile ,,,,1015075,,,false,2026-07-01T18:10:26.296Z
2092|4|0|1523707,2092,468508,1523707,pci lib,,1523707,pci lib,,,,1523707,,,false,2026-07-01T18:10:26.296Z
2092|2|0|1527044,2092,468508,1527044,"programmed pcb assy, router ",,1527044,"programmed pcb assy, router ",,,,1527044,,,false,2026-07-01T18:10:26.296Z
2092|6|0|1015076,2092,468508,1015076,cable retractile ,,1015076,cable retractile ,,,,1015076,,,false,2026-07-01T18:10:26.296Z
2093|2|0|N/A,2093,127990,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2094|3|0|N/A,2094,0101,N/A,Isolator 300 W,,N/A,Isolator 300 W,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2094|2|0|N/A,2094,0101,N/A,Isolator 600 W,,N/A,Isolator 600 W,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2096|2|0|1018265,2096,,1018265,FRU Z Motor Brush  Set,,1018265,FRU Z Motor Brush  Set,,,,1018265,,,false,2026-07-01T18:10:26.296Z
2098|2|0|4513316442301M,2098,,4513316442301M,water filter cant 2,,4513316442301M,water filter cant 2,,,,4513316442301M,,,false,2026-07-01T18:10:26.296Z
2103|2|0|45133411940,2103,,45133411940,Roller Superior,,45133411940,Roller Superior,,,,45133411940,,,false,2026-07-01T18:10:26.296Z
2105|2|0|N/C,2105,,N/C,N/C,,N/C,N/C,,,,N/C,,,false,2026-07-01T18:10:26.296Z
2106|2|0|N/C,2106,,N/C,N/C,,N/C,N/C,,,,N/C,,,false,2026-07-01T18:10:26.296Z
2107|2|0|,2107,,,6 mtrs de cable CAT5,,,6 mtrs de cable CAT5,,,,,,,false,2026-07-01T18:10:26.296Z
2108|3|0|1027687,2108,914690,1027687,detector imaging panel (ap),,1027687,detector imaging panel (ap),,,,1027687,,,false,2026-07-01T18:10:26.296Z
2109|2|0|N/A,2109,716324,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2110|3|0|1509604,2110,,1509604,"Kit,  Spares, Horiz Adjuster",,1509604,"Kit,  Spares, Horiz Adjuster",,,,1509604,,,false,2026-07-01T18:10:26.296Z
2110|5|0|1564298,2110,,1564298,"(02) PCB Assy, DLG, Diaphragms",,1564298,"(02) PCB Assy, DLG, Diaphragms",,,,1564298,,,false,2026-07-01T18:10:26.296Z
2110|4|0|1547237,2110,,1547237,"Kit, Luminus Proj Assy and PCB, Assy Led Control",,1547237,"Kit, Luminus Proj Assy and PCB, Assy Led Control",,,,1547237,,,false,2026-07-01T18:10:26.296Z
2110|7|0|1556287,2110,,1556287,"(02) Kit, spares, Diaphragms Brake",,1556287,"(02) Kit, spares, Diaphragms Brake",,,,1556287,,,false,2026-07-01T18:10:26.296Z
2110|2|0|4513316442301M,2110,,4513316442301M,(02) Water Filter,,4513316442301M,(02) Water Filter,,,,4513316442301M,,,false,2026-07-01T18:10:26.296Z
2110|6|0|1507972,2110,,1507972,Voltage regulator pcb Assy,,1507972,Voltage regulator pcb Assy,,,,1507972,,,false,2026-07-01T18:10:26.296Z
2110|8|0|1018559,2110,,1018559,"(02) Assy, Bracket & Fan",,1018559,"(02) Assy, Bracket & Fan",,,,1018559,,,false,2026-07-01T18:10:26.296Z
2113|4|0|45133502026,2113,568581,45133502026,"assembly, xrays tube",,45133502026,"assembly, xrays tube",,,,45133502026,,,false,2026-07-01T18:10:26.296Z
2114|2|0|N/C,2114,,N/C,N/C,,N/C,N/C,,,,N/C,,,false,2026-07-01T18:10:26.296Z
2117|2|0|N/A,2117,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2122|2|0|45133165177,2122,115048,45133165177,"thyratron, hydtogen",,45133165177,"thyratron, hydtogen",,,,45133165177,,,false,2026-07-01T18:10:26.296Z
2123|2|0|1018265,2123,,1018265,FRU Z MOTOR BRUSH SET (Electrocraft),,1018265,FRU Z MOTOR BRUSH SET (Electrocraft),,,,1018265,,,false,2026-07-01T18:10:26.296Z
2125|2|0|1018559,2125,,1018559,"(02) Assy, Bracket & Fan",,1018559,"(02) Assy, Bracket & Fan",,,,1018559,,,false,2026-07-01T18:10:26.296Z
2127|2|0|1527814,2127,,1527814,"IPCU, PSU Ion Pump",,1527814,"IPCU, PSU Ion Pump",,,,1527814,,,false,2026-07-01T18:10:26.296Z
2129|3|0|N/A,2129,,N/A,Térmico impresora Zebra,,N/A,Térmico impresora Zebra,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2133|2|0|1534958,2133,0101,1534958,Kit Spare Leaf MO  Cant: 1,,1534958,Kit Spare Leaf MO  Cant: 1,,,,1534958,,,false,2026-07-01T18:10:26.296Z
2134|3|0|1556287,2134,0101,1556287,KIT SPARES DIAPHRAGM BRAKE Cant: 2,,1556287,KIT SPARES DIAPHRAGM BRAKE Cant: 2,,,,1556287,,,false,2026-07-01T18:10:26.296Z
2134|2|0|1564298,2134,0101,1564298,PCB DLG and DIAPHRAGM ,,1564298,PCB DLG and DIAPHRAGM ,,,,1564298,,,false,2026-07-01T18:10:26.296Z
2135|2|0|1024183,2135,823784,1024183,Water Pump,,1024183,Water Pump,,,,1024183,,,false,2026-07-01T18:10:26.296Z
2140|2|0|,2140,,,Cable DVI 5mts,,,Cable DVI 5mts,,,,,,,false,2026-07-01T18:10:26.296Z
2141|2|0|1016518,2141,,1016518,detector panel PSU,,1016518,detector panel PSU,,,,1016518,,,false,2026-07-01T18:10:26.296Z
2142|2|0|N/A,2142,,N/A,Fuente de Iridium 192,,N/A,Fuente de Iridium 192,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2143|2|0|1517657,2143,777777,1517657,"PCB ASSY, LEAF MOTOR DRIVE",,1517657,"PCB ASSY, LEAF MOTOR DRIVE",,,,1517657,,,false,2026-07-01T18:10:26.296Z
2145|2|0|,2145,,,"Alcohol
Wd40
aceite lubricante triflow
grasa Ep2
paños microfibras
aceite de caja mécanica",,,"Alcohol
Wd40
aceite lubricante triflow
grasa Ep2
paños microfibras
aceite de caja mécanica",,,,,,,false,2026-07-01T18:10:26.296Z
2146|2|0|4513316442301M,2146,,4513316442301M,"water filter. cant = 2
wd40
aceite triflow
grasa ep2",,4513316442301M,"water filter. cant = 2
wd40
aceite triflow
grasa ep2",,,,4513316442301M,,,false,2026-07-01T18:10:26.296Z
2147|2|0|,2147,,,(05) nueces cortas,,,(05) nueces cortas,,,,,,,false,2026-07-01T18:10:26.296Z
2148|2|0|N/A,2148,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2149|2|0|,2149,,,Tarjeta PCB de telemetro,,,Tarjeta PCB de telemetro,,,,,,,false,2026-07-01T18:10:26.296Z
2150|2|0|,2150,107185,,"paños microfibras
alcohol
wd40
aceite lubricante
spray especial para sistema óptico",,,"paños microfibras
alcohol
wd40
aceite lubricante
spray especial para sistema óptico",,,,,,,false,2026-07-01T18:10:26.296Z
2151|3|0|1502613,2151,,1502613,"mod kit, láser odi lamp",,1502613,"mod kit, láser odi lamp",,,,1502613,,,false,2026-07-01T18:10:26.296Z
2151|2|0|4513 330 4800,2151,,4513 330 4800,electron gun assy,,4513 330 4800,electron gun assy,,,,4513 330 4800,,,false,2026-07-01T18:10:26.296Z
2152|2|0|1500954,2152,,1500954,Voltage Regulator PCB Assy,,1500954,Voltage Regulator PCB Assy,,,,1500954,,,false,2026-07-01T18:10:26.296Z
2153|3|0|45133304800,2153,,45133304800,electron gun assy,,45133304800,electron gun assy,,,,45133304800,,,false,2026-07-01T18:10:26.296Z
2154|2|0|N/A,2154,,N/A,"Lubricante W40
Paños de fibra sin residuos
Aire comprimido ",,N/A,"Lubricante W40
Paños de fibra sin residuos
Aire comprimido ",,,,N/A,,,false,2026-07-01T18:10:26.296Z
2155|2|0|,2155,,,"Grasa ep2
wd40
alcohol
triflow
paños",,,"Grasa ep2
wd40
alcohol
triflow
paños",,,,,,,false,2026-07-01T18:10:26.296Z
2156|2|0|N/A,2156,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2158|4|0|1515098,2158,,1515098,IonPump (lado target),,1515098,IonPump (lado target),,,,1515098,,,false,2026-07-01T18:10:26.296Z
2161|2|0|,2161,,,loctite,,,loctite,,,,,,,false,2026-07-01T18:10:26.296Z
2162|3|0|1564298,2162,,1564298,"pcb assy, DLG and Diaphragm  drive ",,1564298,"pcb assy, DLG and Diaphragm  drive ",,,,1564298,,,false,2026-07-01T18:10:26.296Z
2162|5|0|1527044,2162,,1527044,"programmed pcb assy, router",,1527044,"programmed pcb assy, router",,,,1527044,,,false,2026-07-01T18:10:26.296Z
2162|4|0|1526644,2162,,1526644,"pcb assy, Wedge control ",,1526644,"pcb assy, Wedge control ",,,,1526644,,,false,2026-07-01T18:10:26.296Z
2162|2|0|1556292,2162,,1556292,kit spare DLG brake (2 unidades),,1556292,kit spare DLG brake (2 unidades),,,,1556292,,,false,2026-07-01T18:10:26.296Z
2163|5|0|1515098,2163,,1515098,ion pump - spare,,1515098,ion pump - spare,,,,1515098,,,false,2026-07-01T18:10:26.296Z
2163|4|0|1564298,2163,,1564298,pcb dlg/diafragmas cant 1,,1564298,pcb dlg/diafragmas cant 1,,,,1564298,,,false,2026-07-01T18:10:26.296Z
2164|2|0|N/A,2164,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2167|3|0|n/a,2167,,n/a,n/a,,n/a,n/a,,,,n/a,,,false,2026-07-01T18:10:26.296Z
2169|2|0|1534958,2169,240610,1534958,"kit, spares, leaf motor",,1534958,"kit, spares, leaf motor",,,,1534958,,,false,2026-07-01T18:10:26.296Z
"2170|2|0|45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",2170,,"45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489
","PCB 811 INTERCONNECT LADO B
PCB 812 INTERCONNECT LADO A
ISO ROTATION BRAKE
CABLE SKT 810A-PL801A
CABLE SKT 810B-PL801B
CABLE SKT 810E-PL801E
CABLE SKT 810C-PL802C
CABLE SKT 810F-PL802F",,"45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489
","PCB 811 INTERCONNECT LADO B
PCB 812 INTERCONNECT LADO A
ISO ROTATION BRAKE
CABLE SKT 810A-PL801A
CABLE SKT 810B-PL801B
CABLE SKT 810E-PL801E
CABLE SKT 810C-PL802C
CABLE SKT 810F-PL802F",,,,"45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489
",,,false,2026-07-01T18:10:26.296Z
2171|2|0|2246067,2171,,2246067,Printer SII Smart Label Printer 650,,2246067,Printer SII Smart Label Printer 650,,,,2246067,,,false,2026-07-01T18:10:26.296Z
2173|4|0|1502613,2173,303706,1502613,Laser ODI Spares Kit,,1502613,Laser ODI Spares Kit,,,,1502613,,,false,2026-07-01T18:10:26.296Z
"2173|3|0|4513341185001U
4513341184601U",2173,303706,"4513341185001U
4513341184601U",cable PL9 y PL5,,"4513341185001U
4513341184601U",cable PL9 y PL5,,,,"4513341185001U
4513341184601U",,,false,2026-07-01T18:10:26.296Z
2174|2|0|4513316442101T,2174,,4513316442101T,"Potentiometer 20K, 10T",,4513316442101T,"Potentiometer 20K, 10T",,,,4513316442101T,,,false,2026-07-01T18:10:26.296Z
2180|2|0|No hay.,2180,,No hay. ,No hay. ,,No hay. ,No hay. ,,,,No hay. ,,,false,2026-07-01T18:10:26.296Z
2182|2|0|No hay,2182,,No hay ,No hay ,,No hay ,No hay ,,,,No hay ,,,false,2026-07-01T18:10:26.296Z
2183|4|0|n/a,2183,561750,n/a,n/a,,n/a,n/a,,,,n/a,,,false,2026-07-01T18:10:26.296Z
2185|2|0|,2185,905198,,"potenciometro coarse
potenciometro fine",,,"potenciometro coarse
potenciometro fine",,,,,,,false,2026-07-01T18:10:26.296Z
2190|10|0|45133304800,2190,,45133304800,Electron Gun Assy,,45133304800,Electron Gun Assy,,,,45133304800,,,false,2026-07-01T18:10:26.296Z
2190|12|0|1024939,2190,,1024939,"Assy 40x40x10mm Led Projector Fan, Heatsink",,1024939,"Assy 40x40x10mm Led Projector Fan, Heatsink",,,,1024939,,,false,2026-07-01T18:10:26.296Z
2190|11|0|1515098,2190,,1515098,Ion Pump Spare,,1515098,Ion Pump Spare,,,,1515098,,,false,2026-07-01T18:10:26.296Z
