fieldbeat_task_id,linked_zendesk_ticket_id,task_type,priority,state,description,client_key,assigned_to,created_by,created_at,updated_at,start_time,duration_minutes,last_transition_at,finished_data_synced_at,created_in,extracted_at
3129,,PREVENTIVA PROGRAMADA,2,FINISHED,mantencion preventiva linac,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-06-19T14:55:32.113Z,2025-06-19T15:13:47.447Z,2025-06-19T14:53:00.000Z,240,2025-06-19T15:13:27.670Z,,APK,2026-08-06T07:59:39.429Z
3130,,PREVENTIVA PROGRAMADA,2,FINISHED,Mantenimiento Preventivo Equipo Panasonic,FIELD_BEAT_CLIENT|61.605.000-1|INSTITUTO DE SALUD PUBLICA (ISP),glopez,TOKEN|eyg:glopez:OPERATOR,2025-06-19T16:56:34.503Z,2025-06-19T17:59:16.755Z,2025-06-17T14:00:00.000Z,240,2025-06-19T17:59:10.716Z,,WEB,2026-08-06T07:59:39.429Z
3131,,REQUERIMIENTO DEL CLIENTE,2,FINISHED,inicio de linac,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-06-23T12:52:18.759Z,2025-06-23T15:20:45.398Z,2025-06-23T12:51:00.000Z,60,2025-06-23T15:20:36.881Z,,APK,2026-08-06T07:59:39.429Z
3132,,CORRECTIVA NO PROGRAMADA,3,FINISHED,CAMBIO FO EQUIPO MICROSELECTRON,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),ebecker,TOKEN|eyg:ebecker:WORKER,2025-06-23T13:31:00.056Z,2025-06-23T13:38:09.751Z,2025-06-23T12:30:00.000Z,120,2025-06-23T13:38:00.104Z,,APK,2026-08-06T07:59:39.429Z
3133,9277,CORRECTIVA NO PROGRAMADA,2,FINISHED,Falla magnetron interlock 212 M.fil.Vmon,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-06-23T17:39:07.099Z,2025-06-23T18:50:30.630Z,2025-06-23T17:37:00.000Z,120,2025-06-23T18:49:08.674Z,,APK,2026-08-06T07:59:39.429Z
3134,9273,CORRECTIVA PROGRAMADA,2,FINISHED,cambio de filamento fino a filamento grueso,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,ccarrasquel,TOKEN|eyg:ccarrasquel:WORKER,2025-06-23T18:29:02.513Z,2025-06-23T19:01:25.000Z,2025-06-23T18:26:00.000Z,120,2025-06-23T19:01:19.697Z,,APK,2026-08-06T07:59:39.429Z
3135,,CORRECTIVA PROGRAMADA,2,FINISHED,Día 1 trabajos CLC,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,mabreu,TOKEN|eyg:mabreu:WORKER,2025-06-24T20:37:30.577Z,2025-08-12T21:00:37.285Z,2025-06-24T20:36:00.000Z,120,2025-08-12T21:00:33.142Z,,APK,2026-08-06T07:59:39.429Z
3136,9269,REQUERIMIENTO DEL CLIENTE,2,FINISHED,configuracion de tablet laseres,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,ssalice,TOKEN|eyg:ssalice:WORKER,2025-06-24T20:57:05.794Z,2025-06-24T21:01:04.584Z,2025-06-24T20:55:00.000Z,60,2025-06-24T21:00:54.552Z,,APK,2026-08-06T07:59:39.429Z
3137,9173,CORRECTIVA PROGRAMADA,2,FINISHED,Verificacion Panel iView,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-06-24T23:11:17.836Z,2025-06-25T00:42:07.006Z,2025-06-24T23:10:00.000Z,120,2025-06-25T00:41:59.978Z,,APK,2026-08-06T07:59:39.429Z
3138,,CORRECTIVA NO PROGRAMADA,2,SCHEDULED,Problemas Dose 2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,,TOKEN|eyg:mabreu:WORKER,2025-06-25T23:23:15.226Z,2025-06-25T23:23:15.226Z,2025-06-25T23:22:00.000Z,120,2025-06-25T23:23:15.226Z,,APK,2026-08-06T07:59:39.429Z
