identity_id,dolibarr_product_id,identity_type,identity_value,identity_value_normalized,dolibarr_ref,dolibarr_barcode,dolibarr_label,extracted_at
11225|ID|11225,11225,ID,11225,11225,019149,,Annual Maintenance Kit,2026-08-03T04:54:39.696Z
12253|REF|019324,12253,REF,019324,019324,019324,,DOSAGE SPRING,2026-08-03T04:54:39.696Z
12253|ID|12253,12253,ID,12253,12253,019324,,DOSAGE SPRING,2026-08-03T04:54:39.696Z
12316|REF|020870,12316,REF,020870,020870,020870,,WASTE DOOR HANDLE,2026-08-03T04:54:39.696Z
12316|ID|12316,12316,ID,12316,12316,020870,,WASTE DOOR HANDLE,2026-08-03T04:54:39.696Z
11203|REF|021496,11203,REF,021496,021496,021496,,SPIDER FOR CAROSEUL TRANSMISSION,2026-08-03T04:54:39.696Z
11203|ID|11203,11203,ID,11203,11203,021496,,SPIDER FOR CAROSEUL TRANSMISSION,2026-08-03T04:54:39.696Z
12300|REF|022669,12300,REF,022669,022669,022669,,USB BARCODE READER CABLE,2026-08-03T04:54:39.696Z
12300|ID|12300,12300,ID,12300,12300,022669,,USB BARCODE READER CABLE,2026-08-03T04:54:39.696Z
11940|REF|022707,11940,REF,022707,022707,022707,,Empaquetadura panel U.V (Annual Maintenance Kit),2026-08-03T04:54:39.696Z
11940|ID|11940,11940,ID,11940,11940,022707,,Empaquetadura panel U.V (Annual Maintenance Kit),2026-08-03T04:54:39.696Z
11914|REF|023025,11914,REF,023025,023025,023025,,02EGM19R001-11 Electric Gripper,2026-08-03T04:54:39.696Z
11914|ID|11914,11914,ID,11914,11914,023025,,02EGM19R001-11 Electric Gripper,2026-08-03T04:54:39.696Z
11991|REF|03-999-0034,11991,REF,03-999-0034,039990034,03-999-0034,,iGUIDE® reference frame set ( includes bottom plate),2026-08-03T04:54:39.696Z
11991|ID|11991,11991,ID,11991,11991,03-999-0034,,iGUIDE® reference frame set ( includes bottom plate),2026-08-03T04:54:39.696Z
11996|REF|03-999-0035,11996,REF,03-999-0035,039990035,03-999-0035,,Reference Frame bottom plate,2026-08-03T04:54:39.696Z
11996|ID|11996,11996,ID,11996,11996,03-999-0035,,Reference Frame bottom plate,2026-08-03T04:54:39.696Z
11986|REF|03-999-0038,11986,REF,03-999-0038,039990038,03-999-0038,,NDI Accuracy assessment kit AAK,2026-08-03T04:54:39.696Z
11986|ID|11986,11986,ID,11986,11986,03-999-0038,,NDI Accuracy assessment kit AAK,2026-08-03T04:54:39.696Z
11988|REF|03-999-0039,11988,REF,03-999-0039,039990039,03-999-0039,,"NDI passive sphere marker and post, contains 2 of each",2026-08-03T04:54:39.696Z
11988|ID|11988,11988,ID,11988,11988,03-999-0039,,"NDI passive sphere marker and post, contains 2 of each",2026-08-03T04:54:39.696Z
12130|REF|03-999-1002,12130,REF,03-999-1002,039991002,03-999-1002,,HexaPOD™ evo controller 48 V evo,2026-08-03T04:54:39.696Z
12130|ID|12130,12130,ID,12130,12130,03-999-1002,,HexaPOD™ evo controller 48 V evo,2026-08-03T04:54:39.696Z
12132|REF|03-999-1006,12132,REF,03-999-1006,039991006,03-999-1006,,Lifting unit 150 6,2026-08-03T04:54:39.696Z
12132|ID|12132,12132,ID,12132,12132,03-999-1006,,Lifting unit 150 6,2026-08-03T04:54:39.696Z
12036|REF|03-999-1052,12036,REF,03-999-1052,039991052,03-999-1052,,Wheel set (4 wheels),2026-08-03T04:54:39.696Z
12036|ID|12036,12036,ID,12036,12036,03-999-1052,,Wheel set (4 wheels),2026-08-03T04:54:39.696Z
12054|REF|03-999-1052_usado,12054,REF,03-999-1052_usado,039991052USADO,03-999-1052_usado,,Wheel set (4 wheels),2026-08-03T04:54:39.696Z
12054|ID|12054,12054,ID,12054,12054,03-999-1052_usado,,Wheel set (4 wheels),2026-08-03T04:54:39.696Z
11984|REF|03-999-1095,11984,REF,03-999-1095,039991095,03-999-1095,,HexaPOD™ evo Brake release tool,2026-08-03T04:54:39.696Z
11984|ID|11984,11984,ID,11984,11984,03-999-1095,,HexaPOD™ evo Brake release tool,2026-08-03T04:54:39.696Z
11985|REF|03-999-1101,11985,REF,03-999-1101,039991101,03-999-1101,,HexaPOD™ evo Serial link cable,2026-08-03T04:54:39.696Z
11985|ID|11985,11985,ID,11985,11985,03-999-1101,,HexaPOD™ evo Serial link cable,2026-08-03T04:54:39.696Z
11992|REF|03-999-1134,11992,REF,03-999-1134,039991134,03-999-1134,,Reference Frame positioning pin set,2026-08-03T04:54:39.696Z
11992|ID|11992,11992,ID,11992,11992,03-999-1134,,Reference Frame positioning pin set,2026-08-03T04:54:39.696Z
12131|REF|03-999-1140,12131,REF,03-999-1140,039991140,03-999-1140,,HexaPOD™ evo module fuses,2026-08-03T04:54:39.696Z
12131|ID|12131,12131,ID,12131,12131,03-999-1140,,HexaPOD™ evo module fuses,2026-08-03T04:54:39.696Z
11993|REF|03-999-1141,11993,REF,03-999-1141,039991141,03-999-1141,,Clamp modifications,2026-08-03T04:54:39.696Z
11993|ID|11993,11993,ID,11993,11993,03-999-1141,,Clamp modifications,2026-08-03T04:54:39.696Z
11989|REF|03-999-1145,11989,REF,03-999-1145,039991145,03-999-1145,,iGUIDE® reference frame marker (Set of 2),2026-08-03T04:54:39.696Z
11989|ID|11989,11989,ID,11989,11989,03-999-1145,,iGUIDE® reference frame marker (Set of 2),2026-08-03T04:54:39.696Z
11990|REF|03-999-1201,11990,REF,03-999-1201,039991201,03-999-1201,,iGUIDE® reflection avoidance bracket,2026-08-03T04:54:39.696Z
11990|ID|11990,11990,ID,11990,11990,03-999-1201,,iGUIDE® reflection avoidance bracket,2026-08-03T04:54:39.696Z
11994|REF|03-999-1203,11994,REF,03-999-1203,039991203,03-999-1203,,iGUIDE® calibration kit MIMI,2026-08-03T04:54:39.696Z
11994|ID|11994,11994,ID,11994,11994,03-999-1203,,iGUIDE® calibration kit MIMI,2026-08-03T04:54:39.696Z
11995|REF|03-999-1204,11995,REF,03-999-1204,039991204,03-999-1204,,iGUIDE® calibration array MIMI,2026-08-03T04:54:39.696Z
11995|ID|11995,11995,ID,11995,11995,03-999-1204,,iGUIDE® calibration array MIMI,2026-08-03T04:54:39.696Z
12174|REF|03-999-1209,12174,REF,03-999-1209,039991209,03-999-1209,,HexaPOD™ Evo Interlock PCB 3.0,2026-08-03T04:54:39.696Z
12174|ID|12174,12174,ID,12174,12174,03-999-1209,,HexaPOD™ Evo Interlock PCB 3.0,2026-08-03T04:54:39.696Z
12067|REF|03-999-1290,12067,REF,03-999-1290,039991290,03-999-1290,,Handheld Controller,2026-08-03T04:54:39.696Z
12067|ID|12067,12067,ID,12067,12067,03-999-1290,,Handheld Controller,2026-08-03T04:54:39.696Z
12207|REF|03-999-1290_usado,12207,REF,03-999-1290_usado,039991290USADO,03-999-1290_usado,,Handheld Controller,2026-08-03T04:54:39.696Z
12207|ID|12207,12207,ID,12207,12207,03-999-1290_usado,,Handheld Controller,2026-08-03T04:54:39.696Z
12141|REF|03-999-1297,12141,REF,03-999-1297,039991297,03-999-1297,,iGUIDE Tracking system Vega,2026-08-03T04:54:39.696Z
12141|ID|12141,12141,ID,12141,12141,03-999-1297,,iGUIDE Tracking system Vega,2026-08-03T04:54:39.696Z
12178|REF|03-999-1302,12178,REF,03-999-1302,039991302,03-999-1302,,iGuide Recovery Disk 2.2.3.0,2026-08-03T04:54:39.696Z
12178|ID|12178,12178,ID,12178,12178,03-999-1302,,iGuide Recovery Disk 2.2.3.0,2026-08-03T04:54:39.696Z
12177|REF|03-999-1303,12177,REF,03-999-1303,039991303,03-999-1303,,iGuide WS Esprimo P9010,2026-08-03T04:54:39.696Z
12177|ID|12177,12177,ID,12177,12177,03-999-1303,,iGuide WS Esprimo P9010,2026-08-03T04:54:39.696Z
11916|REF|03050701,11916,REF,03050701,03050701,03050701,,MONACO Upgrade KIT,2026-08-03T04:54:39.696Z
11916|ID|11916,11916,ID,11916,11916,03050701,,MONACO Upgrade KIT,2026-08-03T04:54:39.696Z
11917|REF|03050716,11917,REF,03050716,03050716,03050716,,MONAC Upgrade KIT,2026-08-03T04:54:39.696Z
11917|ID|11917,11917,ID,11917,11917,03050716,,MONAC Upgrade KIT,2026-08-03T04:54:39.696Z
11538|REF|066152,11538,REF,066152,066152,066152,,Drive alignment tool set,2026-08-03T04:54:39.696Z
11538|ID|11538,11538,ID,11538,11538,066152,,Drive alignment tool set,2026-08-03T04:54:39.696Z
11536|REF|066314,11536,REF,066314,066314,066314,,Bracket Positioning Pin,2026-08-03T04:54:39.696Z
11536|ID|11536,11536,ID,11536,11536,066314,,Bracket Positioning Pin,2026-08-03T04:54:39.696Z
