lifecycle_event_id,fieldbeat_task_id,event_date,client_key,client_name,equipment_internal_id,equipment_uuid,task_type,task_state,technician_names,linked_zendesk_ticket_id,used_part_id,raw_part_identifier,part_name,quantity,dolibarr_product_id,dolibarr_ref,dolibarr_label,match_status,match_method,match_confidence,replacement_event_inferred,event_type_inferred,task_equipment_count,association_confidence_score,association_confidence_label,association_confidence_factors,after_hours_minutes,business_minutes,calculation_status,calculation_notes
1821_APOTECA-CHEMO_1821|2|0|NA,1821,2023-01-27T19:03:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,APOTECA-CHEMO,,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,,1821|2|0|NA,NA,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,100,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1822_Linac-154325_1822|2|0|NA,1822,2023-01-28T12:00:00.000Z,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),HOSPITAL CARLOS VAN BUREN (SSVSA),Linac-154325,,PREVENTIVA PROGRAMADA,FINISHED,jecheverria,0000,1822|2|0|NA,NA,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),181,0,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1823_Linac-153935_1823|3|0|1526644,1823,2023-01-27T22:00:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,Linac-153935,,CORRECTIVA PROGRAMADA,FINISHED,rguapache,,1823|3|0|1526644,1526644,"PCB Assy, Wedge Control ",,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),150,0,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
1824_LINAC-153038_1824|3|0|1006737,1824,2023-01-31T20:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA NO PROGRAMADA,FINISHED,rguapache,,1824|3|0|1006737,1006737,PCB Assy SIB,,12071,1006737_usado,SIB PCB,MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),30,90,OK,
1824_LINAC-153038_1824|2|0|1014204,1824,2023-01-31T20:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA NO PROGRAMADA,FINISHED,rguapache,,1824|2|0|1014204,1014204,Ion Chember Assembly s/n: 07201000163175-2,,10952,1014204,Ceramic ion chamber (MR),MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),30,90,OK,
1825_LINAC-153038_1825|2|0|1006737,1825,2023-02-02T12:29:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA PROGRAMADA,FINISHED,acorbea,158251,1825|2|0|1006737,1006737,Pcb Sib,,12071,1006737_usado,SIB PCB,MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),60,60,OK,
"1827_NOEQUIP_1827|2|0|45133326443
81130242521",1827,2023-02-02T19:00:00.000Z,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,SERVICIO DE SALUD DE MAGALLANES,,,CORRECTIVA NO PROGRAMADA,FINISHED,raguila,,"1827|2|0|45133326443
81130242521","45133326443
81130242521","MotorAssenbly
Leadscrew Assy",,,,,NO_MATCH,NONE,0,true,CORRECTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (NO_MATCH),0,90,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
1828_INC-INFINITY01_1828|3|0|1500954,1828,2023-02-03T11:00:00.000Z,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),Instituto Nacional del Cáncer (INC),INC-INFINITY01,,PREVENTIVA PROGRAMADA,FINISHED,ccarrasquel,777777,1828|3|0|1500954,1500954,"voltage regulador, pcb assy.",,,,,NO_MATCH,NONE,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),30,210,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
1828_INC-INFINITY01_1828|4|0|1542467,1828,2023-02-03T11:00:00.000Z,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),Instituto Nacional del Cáncer (INC),INC-INFINITY01,,PREVENTIVA PROGRAMADA,FINISHED,ccarrasquel,777777,1828|4|0|1542467,1542467,"PCB ASSY, LED Control",,,,,NO_MATCH,NONE,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (NO_MATCH),30,210,OK,repuesto sin match confiable en Dolibarr (match_status=NO_MATCH) - excluido del cálculo de intervalos
1828_INC-INFINITY01_1828|2|0|1551103,1828,2023-02-03T11:00:00.000Z,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),Instituto Nacional del Cáncer (INC),INC-INFINITY01,,PREVENTIVA PROGRAMADA,FINISHED,ccarrasquel,777777,1828|2|0|1551103,1551103,mod kit/03 disc spring,,12147,1551103,"MOD KIT, DISC SPRING GANTRY (fco)",MATCHED,REF_EXACT,1,true,PREVENTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),30,210,OK,
