equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,previous_event_date,current_event_date,interval_days,interval_months,previous_fieldbeat_task_id,current_fieldbeat_task_id,event_count_for_machine_part,association_confidence_score,match_confidence,interval_confidence_score,interval_confidence_label,interval_confidence_factors,interval_status
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,1507089,"Programmed PCB Assy, Router",,2019-04-02T15:30:00.000Z,,,,252,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,45133501070,HANDHELD CONTROLLER,,2019-04-02T15:30:00.000Z,,,,252,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,1018559,"ASSY, BRACKET & FAN",,2019-04-02T15:30:00.000Z,,,,252,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153038,FUNDACION ARTURO LOPEZ PEREZ,R1510260,KV Detector Panel,,2019-04-06T10:30:00.000Z,,,,257,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),45133305658_usado,Multiplex terminal unit (MTU),,2019-04-08T10:30:40.143Z,,,,259,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1016474_usado,"KIT, SPARES, DLG BRAKE",2019-04-12T19:00:42.452Z,2021-08-18T21:00:00.000Z,859,28.22,266,1169,3,66,0.5,66,Media,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1016474_usado,"KIT, SPARES, DLG BRAKE",2021-08-18T21:00:00.000Z,2022-05-09T16:15:00.000Z,264,8.67,1169,1472,3,66,0.5,66,Media,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1014204,Ceramic ion chamber (MR),2019-05-17T22:00:00.000Z,2023-01-31T20:00:00.000Z,1355,44.51,282,1824,2,93,1,93,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1016472_usado,Diaphragm brakes spare kit,2019-05-17T21:00:00.000Z,2021-03-31T22:30:00.000Z,684,22.47,287,1011,2,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-152280,SERVICIO DE SALUD DE MAGALLANES,1020850,"Programmable Pulse Generator, PPG-CVDR PCB",,2019-07-05T20:00:00.000Z,,,,308,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1016476,Leaf motor spares kit,2019-06-12T15:30:25.140Z,2020-09-12T11:29:00.000Z,458,15.04,312,792,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1016476,Leaf motor spares kit,2020-09-12T11:29:00.000Z,2020-11-05T08:40:00.000Z,54,1.77,792,840,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1016476,Leaf motor spares kit,2019-06-13T12:00:45.530Z,2020-03-26T10:20:00.000Z,287,9.43,313,628,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1507089,"Programmed PCB Assy, Router",,2019-06-13T12:00:45.530Z,,,,313,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,45133304800,SL ELECTRON GUN ASSY,2019-06-21T15:00:00.000Z,2022-04-22T18:51:00.000Z,1036,34.04,323,1461,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-152171,CLINICA ALEMANA DE SANTIAGO,45133304800,SL ELECTRON GUN ASSY,2022-04-22T18:51:00.000Z,2023-09-29T18:00:00.000Z,525,17.25,1461,2153,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1022096,Assy Fan 70x70x15mm NO USAR,,2019-07-11T14:00:25.916Z,,,,336,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1500998,Projector Assy Quad LED,2019-05-31T19:30:00.000Z,2024-06-07T17:45:00.000Z,1834,60.25,366,2502,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1010848,"Mirror assembly, optics (Agility)",2019-05-31T19:30:00.000Z,2022-10-11T21:30:00.000Z,1229,40.38,366,1660,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1010848,"Mirror assembly, optics (Agility)",2022-10-11T21:30:00.000Z,2025-11-17T14:51:00.000Z,1133,37.21,1660,3390,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1516727,Kit Beam MU Dose Monitoring BMDM,,2019-08-14T17:30:00.000Z,,,,377,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-105277,TORRE MÉDICA - RANCAGUA,45133315188,RH increment plate assembly,,2019-08-27T14:00:57.721Z,,,,386,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),45133411788,Longitudinal Brake assembly (MR),,2019-10-22T21:00:00.000Z,,,,450,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151238,RADIO NUCLEAR,1015076,"Cable, retractile, MLC (SK25BB–SK26B)",,2019-11-12T18:30:10.016Z,,,,462,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,2231762,BALANZA ROBOT APOTECA CHEMO,,2019-11-15T12:00:00.000Z,,,,469,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2019-12-06T22:00:06.022Z,2021-03-19T11:30:00.000Z,469,15.39,491,996,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2021-03-19T11:30:00.000Z,2022-01-14T20:47:00.000Z,301,9.9,996,1340,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2022-01-14T20:47:00.000Z,2023-02-27T09:30:00.000Z,409,13.42,1340,1860,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2023-02-27T09:30:00.000Z,2023-05-27T13:00:00.000Z,89,2.93,1860,2025,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304800,SL ELECTRON GUN ASSY,2023-05-27T13:00:00.000Z,2023-10-30T13:00:00.000Z,156,5.12,2025,2190,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),BJ4853.222.02,"CABLE ASSY,SK25E TO X38H",,2019-12-05T11:30:00.000Z,,,,504,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),BJ4853.223.02,"CABLE ASSY,SK25F TO X38K",,2019-12-05T11:30:00.000Z,,,,504,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4513316442101T,"Potentiometer, 20k, 10 turns Coarse/Check",2019-12-05T11:30:00.000Z,2022-12-07T20:30:00.000Z,1098,36.08,504,1760,2,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151238,RADIO NUCLEAR,45133308243_01,cable de alta tension Bomba ionica,,2020-01-07T12:30:41.563Z,,,,540,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,420017,Smart clamp set of 5 pieces,,2020-03-09T15:00:00.000Z,,,,609,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1007288,KV DCB Control Board,,2020-03-20T19:00:00.000Z,,,,615,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
TPS-UC,UC CHRISTUS - CECA,SKM_300_GB_128D,IGBT,,2020-04-04T12:00:00.000Z,,,,637,1,47,0.5,47,Baja,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
OIS-UC,UC CHRISTUS - CECA,SKM_300_GB_128D,IGBT,,2020-04-04T12:00:00.000Z,,,,637,1,47,0.5,47,Baja,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153935,UC CHRISTUS - CECA,1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",2020-04-18T12:00:00.000Z,2022-09-12T22:00:00.000Z,877,28.82,644,1617,4,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",2022-09-12T22:00:00.000Z,2023-02-22T18:30:00.000Z,163,5.35,1617,1855,4,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",2023-02-22T18:30:00.000Z,2024-07-23T23:35:00.000Z,517,16.99,1855,2570,4,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,45133302802,"Motor assembly, pancake",,2020-04-18T12:00:00.000Z,,,,644,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2020-04-23T12:00:22.726Z,2020-09-11T10:30:00.000Z,141,4.63,648,791,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2020-09-11T10:30:00.000Z,2020-12-19T11:30:00.000Z,99,3.25,791,902,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2020-12-19T11:30:00.000Z,2021-07-24T12:15:00.000Z,217,7.13,902,1132,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2021-07-24T12:15:00.000Z,2022-03-16T11:30:00.000Z,235,7.72,1132,1408,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-03-16T11:30:00.000Z,2022-04-22T22:55:00.000Z,37,1.23,1408,1449,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-04-22T22:55:00.000Z,2022-07-15T20:30:00.000Z,84,2.76,1449,1544,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-07-15T20:30:00.000Z,2022-09-23T21:00:00.000Z,70,2.3,1544,1637,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-09-23T21:00:00.000Z,2022-11-26T11:30:00.000Z,64,2.09,1637,1745,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-11-26T11:30:00.000Z,2022-12-01T10:30:00.000Z,5,0.16,1745,1750,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2022-12-01T10:30:00.000Z,2023-05-27T13:00:00.000Z,177,5.82,1750,2025,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2023-05-27T13:00:00.000Z,2023-06-29T14:00:00.000Z,33,1.09,2025,2037,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2023-06-29T14:00:00.000Z,2024-07-26T17:47:00.000Z,393,12.92,2037,2573,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1534958,Leaf motor spares kit,2024-07-26T17:47:00.000Z,2025-05-22T14:50:00.000Z,300,9.85,2573,3075,14,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151238,RADIO NUCLEAR,1502964,"SPARES KIT,LED FIELD LAMP",,2020-04-22T19:30:00.000Z,,,,653,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,2327189,UV Lamp,2020-05-27T12:30:00.000Z,2024-05-09T12:30:00.000Z,1443,47.4,670,2446,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,2466801,CABLE SPIRAL ROBOT+CONECTOR,,2020-05-27T12:30:00.000Z,,,,670,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,019149,Annual Maintenance Kit,2020-06-03T12:30:00.000Z,2024-05-09T12:30:00.000Z,1436,47.17,671,2446,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,019149,Annual Maintenance Kit,2024-05-09T12:30:00.000Z,2025-06-06T18:30:00.000Z,393,12.92,2446,3110,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2020-06-06T12:30:29.434Z,2020-09-12T11:29:00.000Z,98,3.22,675,792,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",2020-09-12T11:29:00.000Z,2023-05-05T11:00:00.000Z,965,31.7,792,1968,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-153935,UC CHRISTUS - CECA,45133904894,"FRU,THUMBWHEEL PWB SIDE A.MKII",,2020-05-16T12:00:00.000Z,,,,657,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),BJ6219.002.02,iViewC™ Arm brake cable-B,,2020-04-16T15:43:00.000Z,,,,667,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4714501006,THYRATRON e2v CX1551 (Compact),,2020-04-14T01:03:00.000Z,,,,668,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151238,RADIO NUCLEAR,262285518838K,"BELT,TIMING*SYN 4-T2.5/120",,2020-06-16T15:40:50.594Z,,,,688,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1525500,"KIT, SPARES, LEAF RUBY",,2020-07-14T17:25:00.000Z,,,,715,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2020-07-14T17:25:00.000Z,2023-09-08T11:54:00.000Z,1151,37.8,715,2133,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2023-09-08T11:54:00.000Z,2024-01-02T15:37:00.000Z,116,3.82,2133,2242,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2024-01-02T15:37:00.000Z,2025-11-07T21:42:00.000Z,675,22.18,2242,3371,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2025-11-07T21:42:00.000Z,2025-11-17T14:51:00.000Z,10,0.32,3371,3390,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1534958,Leaf motor spares kit,2025-11-17T14:51:00.000Z,2026-06-12T02:30:00.000Z,206,6.78,3390,3749,6,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1511862,"Analog input, 12-bit (AI12) version 2",2020-07-18T13:00:00.000Z,2022-08-12T19:00:00.000Z,755,24.81,722,1579,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1511862,"Analog input, 12-bit (AI12) version 2",2022-08-12T19:00:00.000Z,2025-01-13T20:53:00.000Z,885,29.08,1579,2824,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4714201102,MAGNETRON MG5193,2020-07-31T13:01:00.000Z,2023-03-23T16:00:00.000Z,965,31.71,743,1901,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4714201102,MAGNETRON MG5193,2023-03-23T16:00:00.000Z,2025-05-30T12:30:00.000Z,799,26.24,1901,3095,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4714201102,MAGNETRON MG5193,2025-05-30T12:30:00.000Z,2025-07-25T12:30:00.000Z,56,1.84,3095,3243,4,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),4513332766303F,PROJECTOR MIRROR ASSY,,2020-08-04T12:50:00.000Z,,,,744,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),45133327662,BEAM SPLITTER MIRROR ASSY,,2020-08-04T12:50:00.000Z,,,,744,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),1010495,CAMERA MIRROR ASSEMBLY,,2020-08-04T12:50:00.000Z,,,,744,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201110,CLÍNICA SANATORIO ALEMÁN (ONCORAD),1007545,MLC REFLECTOR SPARES KIT,,2020-08-04T12:50:00.000Z,,,,744,1,100,0.85,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
OIS-UC,UC CHRISTUS - CECA,C7976A,HPE - LTO-6 Ultrium 6.25TB MP RW Data Tape,,2020-07-24T20:00:00.000Z,,,,732,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133502026_usado,X-ray tube (MR),2020-08-12T21:30:00.000Z,2023-01-10T15:30:00.000Z,881,28.93,752,1798,2,85,0.5,85,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1519103,Dose A Digital,2020-08-24T12:30:00.000Z,2023-12-28T23:25:00.000Z,1221,40.13,768,2240,2,93,1,93,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,45133304326,SPARES WINDOW ASSY RF OUTPUT,,2020-08-29T12:30:00.000Z,,,,771,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-201172,INRAD,1535987,"FRU, DOSE BOARD",2020-09-03T17:18:00.000Z,2020-10-23T17:45:00.000Z,50,1.64,774,826,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1534958,Leaf motor spares kit,2020-09-05T14:00:44.379Z,2022-05-10T16:20:00.000Z,612,20.11,779,1473,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1534958,Leaf motor spares kit,2022-05-10T16:20:00.000Z,2024-05-22T16:42:00.000Z,743,24.41,1473,2473,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1501074,DOSE B version 2,2020-09-08T23:20:00.000Z,2022-11-02T21:30:00.000Z,785,25.79,785,1699,3,93,1,93,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1501074,DOSE B version 2,2022-11-02T21:30:00.000Z,2025-06-25T23:23:00.000Z,966,31.74,1699,3139,3,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
Linac-151673,CLINICA ALEMANA DE SANTIAGO,451362610003J,Belt - m/c 151270 onwards,,2020-09-10T19:00:00.000Z,,,,789,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-151673,CLINICA ALEMANA DE SANTIAGO,1541718,"FRU, Pancake Motor Assembly",,2020-09-10T19:00:00.000Z,,,,789,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1022096,Assy Fan 70x70x15mm NO USAR,,2020-09-12T11:29:00.000Z,,,,792,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
LINAC-153038,FUNDACION ARTURO LOPEZ PEREZ,1016518,Detector Panel PSU (XRD- EPS),2020-10-07T10:40:00.000Z,2022-08-17T17:00:00.000Z,679,22.31,810,1583,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
