equipment_internal_id,client_name,dolibarr_ref,dolibarr_label,previous_event_date,current_event_date,interval_days,interval_months,previous_fieldbeat_task_id,current_fieldbeat_task_id,event_count_for_machine_part,association_confidence_score,match_confidence,interval_confidence_score,interval_confidence_label,interval_confidence_factors,interval_status
Linac-156187,RADIO ONCOLOGÍA DEL SUR,1024939,"ASSY, 40X40X10MM FAN, HEATSINK",,2026-02-27T17:00:00.000Z,,,,3579,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
INC-156473,Instituto Nacional del Cáncer (INC),1509024,"Cable Assy, Area 60 to PLGIPI 1",,2026-03-27T18:58:00.000Z,,,,3621,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
APOTECA-CHEMO,FUNDACION ARTURO LOPEZ PEREZ,2297542,BALL RUNNER BLOCK WJ200QM-01-06 (Puerta deslizante),,2026-03-30T19:00:00.000Z,,,,3630,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,45133302334,"DRIVE ASSEMBLY, MAGNETRON",,2026-04-02T18:32:00.000Z,,,,3636,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
INC-156473,Instituto Nacional del Cáncer (INC),1018559,"ASSY, BRACKET & FAN",2026-04-10T12:30:00.000Z,2026-05-09T00:24:00.000Z,28,0.94,3643,3690,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
CLC-1,CLÍNICA LAS CONDES,1024545,USER INTERFACE SIDE B FRU,,2026-04-16T14:30:00.000Z,,,,3653,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-152171,CLINICA ALEMANA DE SANTIAGO,1014204,Ceramic ion chamber (MR),,2026-04-20T14:30:00.000Z,,,,3665,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
INC-156473,Instituto Nacional del Cáncer (INC),1517657,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",,2026-05-07T19:47:00.000Z,,,,3686,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1569146,"FRU, KV ACB programmed",,2026-05-13T19:44:00.000Z,,,,3695,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-109374,UC CHRISTUS - CECA,1516727,Kit Beam MU Dose Monitoring BMDM,2026-05-27T13:45:00.000Z,2026-06-01T16:43:00.000Z,5,0.17,3716,3726,2,100,1,100,Alta,"Intervalo dentro de lo esperado, sin observaciones adicionales.",VALID_INTERVAL
INC-156473,Instituto Nacional del Cáncer (INC),45133318990,FRU X-Brake,,2026-05-29T00:14:00.000Z,,,,3720,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-109256,UC CHRISTUS - SCA,1531145,"Assy, Fan 70x70x15mm",,2026-05-29T12:30:00.000Z,,,,3721,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-109256,UC CHRISTUS - SCA,1564361,"Programmed PCB Assy, Router",,2026-05-29T19:00:00.000Z,,,,3723,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-109256,UC CHRISTUS - SCA,1017632_usado,PCB ASSY CAMERA CCU,,2026-05-29T19:00:00.000Z,,,,3723,1,85,0.5,85,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-156187,RADIO ONCOLOGÍA DEL SUR,45133904594,PS & DPT PCB - Area 12,,2026-06-02T15:00:00.000Z,,,,3731,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-156187,RADIO ONCOLOGÍA DEL SUR,1541718,"FRU, Pancake Motor Assembly",,2026-05-29T04:00:00.000Z,,,,3733,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-153935,UC CHRISTUS - CECA,45133412329,"SOLENOID, LOCKING ASSY",,2026-06-11T20:08:00.000Z,,,,3748,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-154325,HOSPITAL CARLOS VAN BUREN (SSVSA),1505978,Detector imaging panel AP,,2026-06-19T21:03:00.000Z,,,,3765,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
Linac-109374,UC CHRISTUS - CECA,1532592,BMDM spares kit,,2026-06-27T17:25:00.000Z,,,,3778,1,100,1,100,Alta,Solo 1 evento observado para esta combinación máquina-repuesto - no se puede calcular ningún intervalo.,SINGLE_EVENT_ONLY
